294.0,59,75,70,77.0
406.0,36,75,70,62.0
23.0,41,103,102,54.0
168.0,109,75,70,47.0
81.0,111,2,0,45.0
301.0,107,75,70,41.0
283.0,71,26,25,39.0
224.0,39,103,102,37.0
191.0,44,75,70,37.0
337.0,93,75,70,33.0
75.0,95,103,102,32.0
370.0,72,2,0,31.0
442.0,110,75,70,31.0
423.0,62,103,102,26.0
64.0,89,75,70,26.0
323.0,47,103,102,25.0
159.0,61,75,70,25.0
336.0,4,75,70,24.0
139.0,67,75,70,24.0
61.0,88,75,70,24.0
369.0,23,75,70,22.0
349.0,27,103,102,22.0
206.0,45,75,70,21.0
15.0,37,75,70,20.0
437.0,63,75,70,20.0
315.0,90,103,102,20.0
255.0,10,75,70,19.0
31.0,48,2,0,19.0
145.0,21,75,70,18.0
186.0,49,75,70,18.0
438.0,101,103,102,18.0
154.0,55,75,70,17.0
416.0,15,75,70,16.0
196.0,38,103,102,16.0
280.0,64,103,102,16.0
34.0,78,2,0,16.0
394.0,97,75,70,16.0
144.0,100,103,102,16.0
297.0,108,103,102,16.0
100.0,52,75,70,15.0
124.0,74,5,3,15.0
422.0,20,2,0,14.0
223.0,68,2,0,14.0
400.0,87,75,70,14.0
84.0,96,2,0,14.0
71.0,105,75,70,14.0
273.0,22,75,70,13.0
22.0,30,103,102,13.0
427.0,35,103,102,13.0
142.0,69,75,70,13.0
72.0,80,75,70,13.0
330.0,81,75,70,13.0
158.0,85,75,70,13.0
204.0,92,75,70,13.0
30.0,28,75,70,12.0
80.0,8,103,102,11.0
67.0,12,75,70,11.0
247.0,19,2,0,11.0
164.0,29,75,70,11.0
208.0,42,103,102,11.0
97.0,57,75,70,11.0
397.0,60,75,70,11.0
376.0,77,5,3,11.0
201.0,79,2,0,11.0
410.0,86,103,102,11.0
117.0,14,103,102,10.0
287.0,16,103,102,10.0
391.0,24,103,102,10.0
166.0,31,103,102,10.0
131.0,32,75,70,10.0
211.0,33,5,3,10.0
263.0,40,2,0,10.0
113.0,51,75,70,10.0
326.0,58,103,102,10.0
218.0,83,2,0,10.0
302.0,84,103,102,10.0
277.0,94,103,102,10.0
135.0,98,75,70,10.0
136.0,6,103,102,9.0
141.0,9,76,73,9.0
417.0,11,103,102,9.0
367.0,13,75,70,9.0
127.0,17,103,102,9.0
343.0,18,75,70,9.0
129.0,34,103,102,9.0
446.0,43,2,0,9.0
282.0,46,103,102,9.0
215.0,50,103,102,9.0
203.0,53,75,70,9.0
377.0,54,103,102,9.0
362.0,56,75,70,9.0
393.0,65,75,70,9.0
170.0,66,75,70,9.0
356.0,82,75,70,9.0
187.0,91,75,70,9.0
162.0,99,2,0,9.0
115.0,104,75,70,9.0
292.0,106,103,102,9.0
221.0,1,75,70,8.0
104.0,7,103,102,8.0
