13,86,26,7.0
19,70,44,6.0
71,70,27,6.0
4,17,58,5.0
67,70,61,5.0
72,70,52,4.0
2,86,34,3.0
5,70,37,3.0
9,86,35,3.0
23,17,45,3.0
68,17,60,3.0
71,86,27,3.0
80,86,50,3.0
81,70,40,3.0
15,17,53,2.0
18,17,63,2.0
21,17,59,2.0
66,17,43,2.0
69,70,30,2.0
73,17,48,2.0
75,86,29,2.0
78,86,62,2.0
79,70,55,2.0
81,17,40,2.0
85,17,54,2.0
0,17,38,1.0
1,17,33,1.0
3,86,39,1.0
6,70,46,1.0
7,86,65,1.0
8,17,25,1.0
10,86,41,1.0
11,86,56,1.0
12,86,49,1.0
13,17,26,1.0
14,86,57,1.0
16,86,24,1.0
20,86,51,1.0
22,17,64,1.0
74,17,28,1.0
76,17,42,1.0
77,17,36,1.0
82,17,32,1.0
82,70,32,1.0
83,86,31,1.0
84,17,47,1.0
