"620 On Caton Pizzeria"
"Ancona Pizzeria & Heroes"
"Angelo’s Pizza"
"Antonio's Pizzeria & Resta"
"Archie's Pizza"
"Artichoke Basille's Pizza"
"Artichoke Basille’s Pizz"
"Austin Street Pizza"
"Bad Boys Pizza"
"Baker's Pizza"
"Baxter Street Pizza"
"Belmora Pizza & Restaurant"
"Best Pizza"
"Best Pizza Williamsburg"
"Big John's Pizza"
"Bleecker Street Pizza"
"Burrata Pizza"
"Carmine's Original Pizza"
"Cassiano's Pizza"
"Champion Pizza"
"Claudio's Pizzeria"
"Corona Pizza"
"D'Angelo's Pizzeria"
"Delizia 92 Restaurant & Pi"
"Di Fara Pizza"
"Dough Boys Pizza"
"Elegante"
"Emilio's Pizza"
"Enzo & Claudio"
"Enzo's Pizzeria"
"Euro Pizza"
"Famous  Calabria Pizza"
"Fiore's Pizza"
"Fontana Famous Pizza and G"
"Gotham Pizza"
"Hank's Pizza"
"iPizza NY"
"J's Pizza"
"Joe's Pizza"
"Joe's Pizza & Pasta"
"John & Joe's Pizzeria"
"Justino's Pizzeria"
"Koronet Pizzeria"
"La Rondine"
"La Sorrentina Restaurant"
"La Traviata Pizzeria"
"Landy's Pizzeria"
"Lean Crust"
"Lenny And Johns Pizzeria"
"Little Italy Pizza"
"Little Vincent's Pizza"
"Luna Pizza"
"Luv-N-Oven Pizzeria"
"Mamma's Famous Ristorante"
"Margherita Pizza Inc"
"Margherita Pizza Inc."
"Mariella Pizza"
"Marinara Pizza"
"Mimi's Pizza"
"Monte Pizza"
"Monty Q's Pizza"
"My Little Pizzeria"
"My PIE Pizzeria"
"My Place Family Pizza"
"N & D Pizza"
"NY Pizza Suprema"
"Pastafina Restaurant"
"Picasso Pizzeria"
"Pier 76"
"Piz-zetta Pizzeria Brookly"
"Pizza Chef"
"Pizza D'Amore"
"Pizza Italia"
"Pizza Place"
"Pizza plus & the margarita"
"Pizza Prince"
"Prego's Pizza"
"Primavera Pizza & Pasta"
"Pronto Pizza"
"Ray's Pizza"
"Roccos Pizzeria"
"Saba's Pizza NY"
"Sal's Little Italy"
"Saluggi's"
"San Remo's Pizza"
"Scarr's Pizza"
"Slice Joint"
"Slice of Harlem Pizzeria"
"Sofia Pizza Shoppe"
"South Brooklyn Pizza"
"Table 87 Coal Oven Pizza"
"The Original Pizza Sam"
"Two Boots Pizza"
"Two Boots Pizza Williamsbu"
"Upside Pizza"
"Valentine's Pizza"
"Villa Rustica Ristorante &"
"Vito's Slices and Pizza"
"Wegmans"
"Zazzy's Pizza"
