"Abigail Johnson"
"Alain Wertheimer"
"Aldi, Trader Joe's"
"Alexey Mordashov & family"
"Alice Walton"
"Amancio Ortega"
"Amazon"
"Andrey Melnichenko"
"Australia"
"Austria"
"automobiles"
"banking, tobacco"
"batteries"
"batteries, automobiles"
"Beate Heister & Karl Albrecht Jr."
"Berkshire Hathaway"
"Bernard Arnault & family"
"beverages, pharmaceuticals"
"Bill Gates"
"Bloomberg LP"
"BMW"
"BMW, pharmaceuticals"
"Canada"
"candy, pet food"
"Carlos Slim Helu & family"
"casinos"
"Chanel"
"Charles Koch"
"Chile"
"China"
"coal, fertilizers"
"Colin Zheng Huang"
"cryptocurrency"
"Daniel Gilbert"
"David Thomson & family"
"Dell computers"
"Dieter Schwarz"
"Dietrich Mateschitz"
"discount brokerage"
"diversified"
"Dustin Moskovitz"
"e-commerce"
"Elon Musk"
"Eric Schmidt"
"Estee Lauder"
"eyeglasses"
"Facebook"
"Fan Hongwei & family"
"fashion retail"
"fintech"
"France"
"François Pinault & family"
"Francoise Bettencourt Meyers & family"
"gas, chemicals"
"Gautam Adani & family"
"Gennady Timchenko"
"Gerard Wertheimer"
"German Larrea Mota Velasco & family"
"Germany"
"Gina Rinehart"
"Giovanni Ferrero"
"Google"
"Guillaume Pousaz"
"H&M"
"He Xiangjian"
"hedge funds"
"home appliances"
"hospitals"
"Huang Shilin"
"Huateng Ma"
"India"
"Indonesia"
"infrastructure, commodities"
"internet media"
"internet, telecom"
"investments"
"Iris Fontbona & family"
"Italy"
"Jack Ma"
"Jacqueline Mars"
"Japan"
"Jeff Bezos"
"Jensen Huang"
"Jim Simons"
"Jim Walton"
"John Mars"
"Julia Koch & family"
"Ken Griffin"
"Klaus-Michael Kuehne"
"Koch Industries"
"L'Oréal"
"Lakshmi Mittal"
"Larry Ellison"
"Larry Page"
"Lee Shau Kee"
"Len Blavatnik"
"Leonard Lauder"
"Leonardo Del Vecchio & family"
"Leonid Mikhelson"
"Li Ka-shing"
"Li Shufu"
"Li Xiting"
"luxury goods"
"LVMH"
"MacKenzie Scott"
"Mark Zuckerberg"
"Masayoshi Son"
"media"
"medical devices"
"metals"
"Mexico"
"Michael Bloomberg"
"Michael Dell"
"Michael Hartono"
"Microsoft"
"Mike Cannon-Brookes"
"mining"
"Miriam Adelson"
"money management"
"Mukesh Ambani"
"music, chemicals"
"newspapers, TV network"
"Nike"
"Nutella, chocolates"
"oil"
"oil, gas"
"online games"
"package delivery"
"Pang Kang"
"Peter Woo"
"petrochemicals"
"pharmaceuticals"
"Phil Knight & family"
"pig breeding"
"Qin Yinglin & family"
"Quicken Loans"
"R. Budi Hartono"
"Radhakishan Damani"
"Ray Dalio"
"real estate"
"Red Bull"
"retail"
"retail, investments"
"Rob Walton"
"Robin Zeng"
"Rupert Murdoch & family"
"Russia"
"Sam Bankman-Fried"
"Scott Farquhar"
"semiconductors"
"sensors"
"Sergey Brin"
"shipping"
"Shiv Nadar"
"Singapore"
"software"
"software services"
"soy sauce"
"Spain"
"steel"
"steel, investments"
"steel, transport"
"Stefan Persson"
"Stefan Quandt"
"Stephen Schwarzman"
"Steve Ballmer"
"Sun Piaoyang"
"supermarkets"
"Susanne Klatten"
"Sweden"
"Switzerland"
"Tadashi Yanai & family"
"Takemitsu Takizaki"
"telecom"
"Tesla, SpaceX"
"Theo Albrecht Jr & family"
"Thomas Frist Jr & family"
"Thomas Peterffy"
"TikTok"
"United States"
"Vagit Alekperov"
"Vladimir Lisin"
"Vladimir Potanin"
"Walmart"
"Wang Chuanfu"
"Wang Wei"
"Warren Buffett"
"Wei Jianjun & family"
"William Lei Ding"
"Yang Huiyan & family"
"Zara"
"Zhang Yiming"
"Zhong Shanshan"
