1,105,180,835.0,857.0,84,169,118
2,42,164,180.0,231.0,83,168,62
3,25,179,48.0,61.0,5,169,118
4,134,164,50.0,2.0,5,168,62
8,110,28,44.0,0.0,7,27,12
10,63,0,1331.0,.,5,-1,-1
14,71,179,77.0,10.0,83,169,118
16,111,28,96.0,11.0,6,27,12
19,139,179,184.0,79.0,83,169,118
21,18,67,39.0,325.0,83,67,62
15,177,179,36.0,149.0,5,169,118
17,172,179,81.0,881.0,5,169,118
20,163,179,86.0,641.0,5,169,118
32,30,75,63.0,33.0,5,27,12
33,174,13,172.0,0.0,5,13,13
22,42,164,46.0,113.0,83,168,62
26,71,179,224.0,378.0,83,169,118
31,71,179,194.0,53.0,83,169,118
34,101,70,1138.0,.,5,70,62
35,42,164,113.0,.,83,168,62
36,113,143,93.0,51.0,5,143,12
50,76,75,100.0,15.0,5,27,12
52,76,75,74.0,0.0,5,27,12
38,54,82,102.0,.,5,82,12
40,157,27,55.0,.,5,27,12
41,89,179,53.0,36.0,5,169,118
46,154,87,65.0,0.0,5,87,12
47,104,179,70.0,35.0,83,169,118
48,129,27,47.0,274.0,5,27,12
49,149,179,43.0,253.0,5,169,118
51,42,164,52.0,.,83,168,62
53,71,179,135.0,82.0,83,169,118
55,72,180,52.0,221.0,84,169,118
58,117,27,145.0,.,5,27,12
59,108,179,54.0,208.0,5,169,118
60,170,116,73.0,131.0,5,116,62
64,104,179,91.0,205.0,83,169,118
65,149,179,93.0,151.0,5,169,118
66,42,164,218.0,71.0,83,168,62
73,57,0,72.0,50.0,83,-1,-1
68,191,27,53.0,.,5,27,12
69,107,24,90.0,26.0,6,23,118
74,123,179,718.0,105.0,83,169,118
77,192,148,129.0,193.0,7,147,12
79,177,179,50.0,72.0,5,169,118
80,106,179,58.0,178.0,83,169,118
81,190,27,68.0,.,5,27,12
85,119,179,342.0,11.0,83,169,118
91,90,70,66.0,53.0,83,70,62
92,71,179,180.0,473.0,83,169,118
93,163,179,86.0,24.0,5,169,118
94,37,179,57.0,95.0,5,169,118
95,176,88,124.0,862.0,5,88,12
96,61,152,141.0,3.0,5,152,62
97,71,179,44.0,.,83,169,118
98,42,164,194.0,0.0,83,168,62
99,104,179,53.0,280.0,83,169,118
100,104,179,61.0,120.0,83,169,118
102,29,75,93.0,1.0,5,27,12
109,177,179,122.0,0.0,5,169,118
115,136,179,46.0,9.0,5,169,118
120,9,27,88.0,91.0,83,27,12
124,104,179,187.0,812.0,83,169,118
121,104,179,54.0,89.0,83,169,118
122,11,27,72.0,.,5,27,12
125,146,88,80.0,.,83,88,12
126,114,86,41.0,0.0,5,86,62
130,103,27,52.0,4.0,83,27,12
127,71,179,426.0,445.0,83,169,118
128,25,179,116.0,117.0,5,169,118
131,71,179,390.0,2462.0,83,169,118
132,42,164,51.0,.,83,168,62
133,71,179,54.0,106.0,83,169,118
135,43,165,39.0,40.0,84,168,62
137,178,180,99.0,199.0,7,169,118
138,123,179,48.0,40.0,83,169,118
140,162,27,127.0,30.0,5,27,12
142,153,45,274.0,.,6,44,62
144,71,179,59.0,499.0,83,169,118
145,71,179,63.0,139.0,83,169,118
150,173,27,266.0,87.0,5,27,12
151,119,179,73.0,6.0,83,169,118
155,141,27,110.0,73.0,5,27,12
156,123,179,40.0,23.0,83,169,118
158,108,179,38.0,109.0,5,169,118
159,42,164,144.0,.,83,168,62
160,123,179,254.0,448.0,83,169,118
161,71,179,39.0,372.0,83,169,118
166,106,179,37.0,66.0,83,169,118
167,171,75,49.0,38.0,5,27,12
181,106,179,158.0,271.0,83,169,118
187,57,0,64.0,175.0,83,-1,-1
186,174,13,59.0,2.0,5,13,13
182,71,179,103.0,0.0,83,169,118
183,112,28,100.0,66.0,7,27,12
184,175,179,56.0,34.0,5,169,118
185,37,179,102.0,26.0,5,169,118
188,56,179,157.0,0.0,5,169,118
189,78,179,40.0,125.0,83,169,118
39,104,179,191.0,0.0,83,169,118
