0,.,2,0,0,0.4,.,588
0,.,2,1,1,0.6,0.6,882
1,.,2,0,0,0.3900862068965517,.,543
1,.,2,1,1,0.6099137931034483,0.6099137931034483,849
2,.,2,0,0,0.5769230769230769,0.5769230769230769,45
2,.,2,1,1,0.4230769230769231,.,33
3,.,2,0,0,0.37084870848708484,.,402
3,.,2,1,1,0.6291512915129152,0.6291512915129152,682
4,.,2,0,0,0.4577922077922078,.,141
4,.,2,1,1,0.5422077922077922,0.5422077922077922,167
5,5,2,0,0,0.8888888888888888,0.8888888888888888,8
5,5,2,1,1,0.1111111111111111,.,1
6,.,2,0,0,0.5362318840579711,0.5362318840579711,37
6,.,2,1,1,0.463768115942029,.,32
7,7,2,0,0,0.3382352941176471,.,207
7,7,2,1,1,0.6617647058823529,0.6617647058823529,405
8,.,2,0,0,0.413135593220339,.,195
8,.,2,1,1,0.586864406779661,0.586864406779661,277
9,.,2,0,0,0.4856115107913669,.,135
9,.,2,1,1,0.5143884892086331,0.5143884892086331,143
10,.,2,0,0,0.2,.,6
10,.,2,1,1,0.8,0.8,24
11,.,2,0,0,0.42105263157894735,.,16
11,.,2,1,1,0.5789473684210527,0.5789473684210527,22
12,.,2,0,0,0.6774193548387096,0.6774193548387096,21
12,.,2,1,1,0.3225806451612903,.,10
13,.,2,0,0,0.5178571428571429,0.5178571428571429,58
13,.,2,1,1,0.48214285714285715,.,54
14,14,2,0,0,0.38055555555555554,.,137
14,14,2,1,1,0.6194444444444445,0.6194444444444445,223
15,15,2,0,0,1.0,1.0,6
15,15,2,1,1,0.0,.,0
16,.,2,0,0,0.4742647058823529,.,129
16,.,2,1,1,0.5257352941176471,0.5257352941176471,143
17,17,2,0,0,0.6666666666666666,0.6666666666666666,4
17,17,2,1,1,0.3333333333333333,.,2
18,18,2,0,0,0.08333333333333333,.,2
18,18,2,1,1,0.9166666666666666,0.9166666666666666,22
19,19,2,0,0,0.0,.,0
19,19,2,1,1,1.0,1.0,6
20,.,2,0,0,0.5,0.5,16
20,.,2,1,1,0.5,0.5,16
21,21,2,0,0,0.8636363636363636,0.8636363636363636,19
21,21,2,1,1,0.13636363636363635,.,3
22,22,2,0,0,0.2222222222222222,.,2
22,22,2,1,1,0.7777777777777778,0.7777777777777778,7
23,23,2,0,0,0.47368421052631576,.,45
23,23,2,1,1,0.5263157894736842,0.5263157894736842,50
24,24,2,0,0,0.7647058823529411,0.7647058823529411,13
24,24,2,1,1,0.23529411764705882,.,4
25,25,2,0,0,0.28205128205128205,.,11
25,25,2,1,1,0.717948717948718,0.717948717948718,28
26,26,2,0,0,0.5064377682403434,0.5064377682403434,118
26,26,2,1,1,0.49356223175965663,.,115
27,27,2,0,0,0.38461538461538464,.,10
27,27,2,1,1,0.6153846153846154,0.6153846153846154,16
28,28,2,0,0,1.0,1.0,6
28,28,2,1,1,0.0,.,0
